FECHA_MAT;PROGRAMA;CANTIDAD
22-09-2021;DOPI;1
29-09-2021;DOPI;1
04-10-2021;DAAG;1
04-10-2021;DIOD;1
04-10-2021;DIQP;1
04-10-2021;DODP;1
04-10-2021;DOPI;1
05-10-2021;DCPA;1
05-10-2021;DERO;1
05-10-2021;DGCE;1
05-10-2021;DPEN;1
06-10-2021;DERO;1
06-10-2021;DODP;1
07-10-2021;DERO;1
07-10-2021;DERS;1
07-10-2021;DPEN;2
07-10-2021;PEPA;1
09-10-2021;DAAG;1
09-10-2021;DPAD;1
12-10-2021;PEPA;1
12-10-2021;PESU;1
13-10-2021;DERO;1
13-10-2021;DERS;1
13-10-2021;DIQP;1
14-10-2021;DERA;1
14-10-2021;DESU;1
14-10-2021;DIQP;3
15-10-2021;DAAG;1
15-10-2021;MDAD;1
17-10-2021;DOPI;1
18-10-2021;DERO;1
18-10-2021;DIQP;1
20-10-2021;DERA;1
20-10-2021;DOPI;1
20-10-2021;MHGP;1
21-10-2021;DERO;1
21-10-2021;DIQP;1
21-10-2021;DPAD;1
22-10-2021;DCPA;1
22-10-2021;DERS;1
22-10-2021;DIQP;1
22-10-2021;DOPI;2
22-10-2021;MEMG;1
22-10-2021;MPSP;2
22-10-2021;MTEM;1
22-10-2021;PESU;1
23-10-2021;DCPA;1
24-10-2021;DERS;1
24-10-2021;DOPI;1
24-10-2021;DORE;1
24-10-2021;DPEN;1
24-10-2021;MPSP;1
25-10-2021;DCPA;1
25-10-2021;DODP;1
25-10-2021;DOPI;2
25-10-2021;MEMG;1
26-10-2021;DCPA;2
26-10-2021;DIQP;1
26-10-2021;EMCT;1
26-10-2021;PEPA;1
27-10-2021;DERA;2
27-10-2021;DGGE;1
27-10-2021;DIQP;1
27-10-2021;EOOP;3
27-10-2021;MEMG;1
27-10-2021;MTEM;1
27-10-2021;PEND;1
28-10-2021;DDCO;1
28-10-2021;EOOP;4
28-10-2021;MEDU;1
28-10-2021;MEMG;1
29-10-2021;DERO;1
29-10-2021;EOEN;2
29-10-2021;EOOP;1
29-10-2021;MDDE;1
31-10-2021;PEND;1
01-11-2021;PMEM;1
02-11-2021;DCPA;1
02-11-2021;EOEN;4
02-11-2021;EORO;1
03-11-2021;DCPA;1
03-11-2021;DERA;1
03-11-2021;DERO;1
03-11-2021;DEST;1
03-11-2021;DOPI;1
03-11-2021;EOEN;1
03-11-2021;EORO;2
03-11-2021;MDTR;1
03-11-2021;PMEM;1
04-11-2021;DOPI;1
04-11-2021;EORO;4
05-11-2021;DCPA;1
05-11-2021;DHST;1
05-11-2021;DIQP;1
05-11-2021;EOEN;2
05-11-2021;EORO;4
06-11-2021;DCPA;1
07-11-2021;DCPA;1
07-11-2021;DERO;1
08-11-2021;DCPA;3
08-11-2021;PMEM;1
09-11-2021;DIQP;1
09-11-2021;DORE;1
09-11-2021;DSMP;1
09-11-2021;EORO;1
09-11-2021;MDRC;1
10-11-2021;DCPA;3
10-11-2021;DERA;1
10-11-2021;DERS;1
10-11-2021;DODP;1
10-11-2021;DOPI;1
10-11-2021;DPEN;1
10-11-2021;PEOG;1
11-11-2021;DDCO;1
11-11-2021;DOPI;2
11-11-2021;MDTR;1
11-11-2021;MNPP;1
11-11-2021;MTEM;1
12-11-2021;DAAG;1
12-11-2021;DCPA;1
12-11-2021;DERA;2
12-11-2021;DEST;1
12-11-2021;DPPC;1
12-11-2021;EOIO;3
12-11-2021;EOPE;2
12-11-2021;MEMG;1
13-11-2021;DCPA;1
13-11-2021;DERA;1
14-11-2021;DERS;1
15-11-2021;DDLE;1
15-11-2021;DIQP;3
15-11-2021;DMOR;1
15-11-2021;DOCM;1
15-11-2021;EOIM;1
15-11-2021;EOIO;4
15-11-2021;EOOR;3
16-11-2021;DCPA;1
16-11-2021;DERA;1
16-11-2021;DERO;1
16-11-2021;DERS;1
16-11-2021;DOCM;1
16-11-2021;DOPI;1
16-11-2021;DPEN;1
16-11-2021;EOIO;2
16-11-2021;EOPE;1
16-11-2021;MDAD;1
17-11-2021;DCPA;2
17-11-2021;EOCM;3
17-11-2021;EOIM;3
17-11-2021;EOIO;1
17-11-2021;EOOR;1
17-11-2021;EOPE;2
17-11-2021;EOTT;1
17-11-2021;PEOG;1
17-11-2021;PODA;1
18-11-2021;DCPA;3
18-11-2021;DIQP;1
18-11-2021;DPEN;1
18-11-2021;EOOR;2
18-11-2021;EOPE;2
18-11-2021;EOTT;2
18-11-2021;MPSP;1
18-11-2021;PEOG;1
19-11-2021;DCAA;1
19-11-2021;DCPA;2
19-11-2021;DERA;1
19-11-2021;MDPE;1
20-11-2021;DAAG;1
20-11-2021;DCNI;1
22-11-2021;DCPA;1
22-11-2021;DERO;1
22-11-2021;DOPI;1
22-11-2021;DPEN;2
22-11-2021;EOTT;1
22-11-2021;MDRC;2
22-11-2021;MDTR;1
22-11-2021;MTEM;1
22-11-2021;PEOG;1
22-11-2021;PESU;1
23-11-2021;DAAG;1
23-11-2021;DCPA;1
23-11-2021;DERC;1
23-11-2021;DNEO;1
23-11-2021;DODP;1
23-11-2021;DPAD;1
23-11-2021;EOEN;2
23-11-2021;EOTT;1
23-11-2021;MNPP;1
24-11-2021;DCPA;1
24-11-2021;DDCO;1
24-11-2021;DDIN;1
24-11-2021;DERA;1
24-11-2021;DOPI;3
24-11-2021;EOPE;1
24-11-2021;MCSI;1
24-11-2021;MDAD;1
24-11-2021;MDGE;1
24-11-2021;MDTR;1
25-11-2021;DDEP;1
25-11-2021;DERO;1
25-11-2021;DERS;1
25-11-2021;DIND;1
25-11-2021;DOPI;2
25-11-2021;MAGS;1
25-11-2021;MDGE;1
25-11-2021;MDRC;1
25-11-2021;MTEM;1
25-11-2021;PEOG;2
25-11-2021;PMEM;1
26-11-2021;DCPA;2
26-11-2021;DERA;2
26-11-2021;DERO;1
26-11-2021;DERS;1
26-11-2021;DPPC;1
26-11-2021;MAGS;1
26-11-2021;MDAD;2
26-11-2021;MDDE;2
26-11-2021;MTEM;1
26-11-2021;PEND;1
27-11-2021;DERO;2
28-11-2021;DERA;1
28-11-2021;DPEN;1
29-11-2021;DAAG;1
29-11-2021;DCPA;2
29-11-2021;DERO;1
29-11-2021;DERS;1
29-11-2021;DGCE;1
29-11-2021;DNEO;1
29-11-2021;DOPI;1
29-11-2021;DPAD;1
29-11-2021;EOCM;1
29-11-2021;MDAD;1
29-11-2021;MDRC;1
29-11-2021;PEND;1
29-11-2021;PEPA;1
29-11-2021;PMEM;1
30-11-2021;DIOD;1
30-11-2021;DMOR;2
30-11-2021;EOIM;1
30-11-2021;MDRC;1
30-11-2021;PMEM;1
01-12-2021;DEST;1
01-12-2021;DIOD;1
01-12-2021;DIQP;2
01-12-2021;DSCE;1
01-12-2021;MHGP;1
01-12-2021;MIIO;1
01-12-2021;PESU;1
02-12-2021;DCPA;2
02-12-2021;DERS;1
02-12-2021;DPEN;1
02-12-2021;DSCE;1
02-12-2021;MDTR;1
02-12-2021;MEDU;1
02-12-2021;PEOG;1
03-12-2021;DAAG;1
03-12-2021;DCAA;1
03-12-2021;DIQP;1
03-12-2021;DOPI;2
03-12-2021;DPEN;1
03-12-2021;MAGS;1
03-12-2021;MTEM;1
04-12-2021;DERS;1
06-12-2021;DCPA;2
06-12-2021;DIQP;1
06-12-2021;DOPI;1
07-12-2021;DERO;1
07-12-2021;DIQP;2
07-12-2021;DMTT;1
07-12-2021;DOPI;1
07-12-2021;DRET;1
07-12-2021;MEMG;1
08-12-2021;DMOR;1
08-12-2021;DODP;1
09-12-2021;DAAG;1
09-12-2021;DCPA;2
09-12-2021;DDEP;1
09-12-2021;DIQP;1
09-12-2021;DKAD;1
09-12-2021;DOIA;1
09-12-2021;DOPI;1
09-12-2021;DPEN;1
10-12-2021;DCPA;2
10-12-2021;DERS;1
10-12-2021;DFUT;1
10-12-2021;MNPP;1
13-12-2021;DCPA;1
13-12-2021;DIND;1
13-12-2021;DIQP;1
13-12-2021;DOPI;1
13-12-2021;PEOG;1
13-12-2021;PESU;1
14-12-2021;DCKR;1
14-12-2021;DERO;1
14-12-2021;DERS;1
14-12-2021;DRNA;1
14-12-2021;MPSP;1
14-12-2021;PEPA;2
15-12-2021;DIND;1
15-12-2021;MPSP;1
15-12-2021;PEOG;2
15-12-2021;PEPA;1
16-12-2021;CKGI;1
16-12-2021;DCPA;1
16-12-2021;DERO;1
16-12-2021;DERS;1
16-12-2021;DFKM;1
16-12-2021;DSMP;1
16-12-2021;ECKI;1
16-12-2021;MDAD;3
16-12-2021;MEPI;2
16-12-2021;PEPA;2
17-12-2021;DERO;1
17-12-2021;MDTR;1
17-12-2021;MFIA;1
17-12-2021;PMEM;1
18-12-2021;MDTR;1
18-12-2021;PMEM;1
19-12-2021;DSMP;1
20-12-2021;CBPE;1
20-12-2021;DCPA;1
20-12-2021;DERA;1
20-12-2021;DIQP;1
20-12-2021;DODP;1
20-12-2021;DORE;1
20-12-2021;MAGS;2
