CÓDIGO;Semana;Acumulado;PERIODO
CFEP;202325;1;202390
CFEP;202326;1;202390
CFEP;202327;1;202390
CFEP;202328;1;202390
CFEP;202329;1;202390
CFEP;202330;1;202390
CFEP;202331;1;202390
CFEP;202332;2;202390
CFEP;202333;2;202390
CFEP;202334;2;202390
CFEP;202335;2;202390
CFEP;202336;2;202390
CGOP;202325;2;202390
CGOP;202326;2;202390
CGOP;202327;2;202390
CGOP;202328;2;202390
CGOP;202329;2;202390
CGOP;202330;2;202390
CGOP;202331;2;202390
CGOP;202332;2;202390
CGOP;202333;2;202390
CGOP;202334;2;202390
CGOP;202335;2;202390
CGOP;202336;2;202390
CGTA;202336;1;202390
CMDI;202325;1;202390
CMDI;202326;1;202390
CMDI;202327;1;202390
CMDI;202328;1;202390
CMDI;202329;1;202390
CMDI;202330;1;202390
CMDI;202331;1;202390
CMDI;202332;1;202390
CMDI;202333;1;202390
CMDI;202334;1;202390
CMDI;202335;1;202390
CMDI;202336;1;202390
CNEC;202325;1;202390
CNEC;202326;1;202390
CNEC;202327;1;202390
CNEC;202328;1;202390
CNEC;202329;1;202390
CNEC;202330;1;202390
CNEC;202331;1;202390
CNEC;202332;1;202390
CNEC;202333;1;202390
CNEC;202334;1;202390
CNEC;202335;1;202390
CNEC;202336;1;202390
CNRC;202332;1;202390
CNRC;202333;1;202390
CNRC;202334;1;202390
CNRC;202335;1;202390
CNRC;202336;1;202390
DCGE;202333;1;202390
DCGE;202334;2;202390
DCGE;202335;2;202390
DCGE;202336;2;202390
DEMA;202331;1;202390
DEMA;202332;1;202390
DEMA;202333;2;202390
DEMA;202334;4;202390
DEMA;202335;4;202390
DEMA;202336;4;202390
DFNF;202327;1;202390
DFNF;202328;2;202390
DFNF;202329;2;202390
DFNF;202330;3;202390
DFNF;202331;5;202390
DFNF;202332;6;202390
DFNF;202333;7;202390
DFNF;202334;8;202390
DFNF;202335;8;202390
DFNF;202336;9;202390
DCDG;202325;4;202390
DCDG;202326;4;202390
DCDG;202327;4;202390
DCDG;202328;4;202390
DCDG;202329;4;202390
DCDG;202330;4;202390
DCDG;202331;4;202390
DCDG;202332;7;202390
DCDG;202333;7;202390
DCDG;202334;8;202390
DCDG;202335;9;202390
DCDG;202336;11;202390
DDPD;202319;3;202390
