CÓDIGO;Semana
CAAG;47
CACL;26
CACL10;37
CACL11;37
CACL12;38
CACL13;40
CACL14;41
CACL15;42
CACL16;42
CACL17;42
CACL18;43
CACL19;43
CACL2;27
CACL20;44
CACL21;44
CACL22;45
CACL23;45
CACL24;46
CACL25;48
CACL26;50
CACL27;52
CACL28;54
CACL3;28
CACL4;29
CACL5;29
CACL6;31
CACL7;32
CACL8;33
CACL9;35
CACM;46
CACN;67
CACO;67
CACT;59
CADH;67
CADR;37
CAFC;56
CAGR;45
CANE;64
CANP;27
CANP2;43
CAOA;57
CAPE;47
CAPM;37
CASG;57
CATP;37
CBAL;27
CBAL2;27
CBDA;37
CBFA;37
CBFE;43
CBFS;37
CBHR;57
CBMA;61
CBPE;27
CBTD;37
CBVM;57
CCAD;49
CCCG;57
CCCN;57
CCCO;67
CCCR;57
CCCT;57
CCDA;51
CCDE;47
CCDG;37
CCDI;37
CCDT;61
CCEP;63
CCEX;46
CCFE;40
CCGL;68
CCGS;47
CCIL;56
CCOA;37
CCOE;57
CCOM;69
CCPD;47
CCPO;51
CCPT;57
CCRC;52
CCSC;47
CCSO;27
CCSU;37
CCUC;37
CCUE;27
CCUE2;66
CCVG;40
CDAD;75
CDAG;58
CDAI;61
CDAP;67
CDBM;37
CDCA;37
CDCC;26
CDCC2;68
CDCE;45
CDDE;37
CDEC;53
CDFE;51
CDFO;47
CDGC;48
CDGC2;64
CDIN;36
CDLC;71
CDLI;64
CDLP;47
CDMA;66
CDMS;49
CDOC;48
CDOE;44
CDOE2;60
CDOE3;76
CDOF;21
CDOR;57
CDPC;54
CDPD;62
CDPI;61
CDPR;37
CDPS;47
CDUC;45
CDUD;37
CEAP;59
CECA;47
CECE;67
CECL;37
CECP;57
CECU;62
CECV;37
CEDI;37
CEEC;42
CEEN;67
CEEX;62
CEFC;49
CEFR;67
CEGT;37
CEHG;57
CELP;57
CEMK;46
CEML;60
CEPD;57
CEPE;42
CEPS;33
CEPU;58
CEQO;57
CERI;37
CERP;37
CESA;57
CESI;69
CESU;67
CESV;37
CETC;58
CETE;66
CETL;62
CEXS;38
CEXS2;71
CEYV;35
CFBO;NULL
CFEP;37
CFFC;40
CFGP;40
CFHD;67
CFNS;47
CFST;45
CGAC;49
CGAE;49
CGAM;37
CGAP;37
CGAR;37
CGCD;64
CGCS;67
CGDA;69
CGDC;37
CGDP;26
CGDP2;52
CGDP3;68
CGEA;46
CGEN;44
CGEP;37
CGFM;63
CGIC;46
CGIE;45
CGIF;47
CGIP;56
CGIP2;72
CGIT;67
CGMC;48
CGMC2;64
CGMF;47
CGMI;37
CGNS;69
CGOP;37
CGPR;54
CGRD;51
CGRM;50
CGSC;37
CGSO;47
CGSP;67
CGTA;37
CGTD;60
CGTD2;76
CHAI;39
CHAP;37
CHAS;37
CHCE;43
CHDM;67
CHDS;43
CHEI;40
CHEV;37
CHGI;35
CHGL;57
CHID;67
CHPC;31
CHSL;52
CIAA;41
CIAE;59
CIAP;57
CIAS;40
CICI;43
CICR;45
CICS;57
CIEE;42
CIEE2;75
CIEX;38
CIEX2;71
CIFA;37
CILS;47
CIMO;37
CIMS;45
CINF;65
CINM;56
CINS;62
CISM;37
CISO;60
CITR;47
CIUP;47
CIVA;64
CJDE;55
CKR1;55
CLBE;37
CLDD;57
CLEL;47
CLIE;40
CLIN;37
CLMA;40
CLMA2;56
CLMA3;72
CLPH;37
CLUM;37
CMAI;47
CMBU;47
CMCA;37
CMCH;37
CMCO;53
CMDI;37
CMDN;60
CMED;49
CMEP;58
CMET;62
CMFA;57
CMGE;50
CMIE;46
CMIH;67
CMOE;26
CMOE2;52
