CÓDIGO;Semana;Acumulado;PERIODO
CFEP;25;1;202390
CFEP;26;1;202390
CFEP;27;1;202390
CFEP;28;1;202390
CFEP;29;1;202390
CFEP;30;1;202390
CFEP;31;1;202390
CFEP;32;2;202390
CFEP;33;2;202390
CFEP;34;2;202390
CGOP;25;2;202390
CGOP;26;2;202390
CGOP;27;2;202390
CGOP;28;2;202390
CGOP;29;2;202390
CGOP;30;2;202390
CGOP;31;2;202390
CGOP;32;2;202390
CGOP;33;2;202390
CGOP;34;2;202390
CMDI;25;1;202390
CMDI;26;1;202390
CMDI;27;1;202390
CMDI;28;1;202390
CMDI;29;1;202390
CMDI;30;1;202390
CMDI;31;1;202390
CMDI;32;1;202390
CMDI;33;1;202390
CMDI;34;1;202390
CNEC;25;1;202390
CNEC;26;1;202390
CNEC;27;1;202390
CNEC;28;1;202390
CNEC;29;1;202390
CNEC;30;1;202390
CNEC;31;1;202390
CNEC;32;1;202390
CNEC;33;1;202390
CNEC;34;1;202390
CNRC;32;1;202390
CNRC;33;1;202390
CNRC;34;1;202390
DCGE;33;1;202390
DCGE;34;2;202390
DEMA;31;1;202390
DEMA;32;1;202390
DEMA;33;2;202390
DEMA;34;4;202390
DFNF;27;1;202390
DFNF;28;2;202390
DFNF;29;2;202390
DFNF;30;3;202390
DFNF;31;5;202390
DFNF;32;6;202390
DFNF;33;7;202390
DFNF;34;8;202390
DCDG;25;4;202390
DCDG;26;4;202390
DCDG;27;4;202390
DCDG;28;4;202390
DCDG;29;4;202390
DCDG;30;4;202390
DCDG;31;4;202390
DCDG;32;7;202390
DCDG;33;7;202390
DCDG;34;8;202390
DDPD;19;3;202390
DDPD;20;3;202390
DDPD;21;3;202390
DDPD;22;3;202390
DDPD;23;3;202390
DDPD;24;3;202390
DDPD;25;8;202390
DDPD;26;8;202390
DDPD;27;8;202390
DDPD;28;8;202390
DDPD;29;8;202390
DDPD;30;8;202390
DDPD;31;8;202390
DDPD;32;10;202390
DDPD;33;10;202390
DDPD;34;12;202390
DGOL;25;11;202390
DGOL;26;11;202390
DGOL;27;11;202390
DGOL;28;11;202390
DGOL;29;11;202390
DGOL;30;11;202390
DGOL;31;11;202390
DGOL;32;27;202390
DGOL;33;27;202390
DGOL;34;31;202390
DHGE;19;2;202390
DHGE;20;2;202390
DHGE;21;2;202390
DHGE;22;2;202390
DHGE;23;2;202390
DHGE;24;2;202390
DHGE;25;5;202390
DHGE;26;5;202390
DHGE;27;5;202390
DHGE;28;5;202390
DHGE;29;5;202390
DHGE;30;5;202390
DHGE;31;5;202390
DHGE;32;6;202390
DHGE;33;6;202390
DHGE;34;6;202390
DLGP;19;2;202390
DLGP;20;2;202390
DLGP;21;2;202390
DLGP;22;2;202390
DLGP;23;2;202390
DLGP;24;2;202390
DLGP;25;15;202390
DLGP;26;15;202390
DLGP;27;15;202390
DLGP;28;15;202390
DLGP;29;15;202390
DLGP;30;15;202390
DLGP;31;15;202390
DLGP;32;25;202390
DLGP;33;25;202390
DLGP;34;28;202390
DMDC;19;4;202390
DMDC;20;4;202390
DMDC;21;4;202390
DMDC;22;4;202390
DMDC;23;4;202390
DMDC;24;4;202390
DMDC;25;17;202390
DMDC;26;18;202390
DMDC;27;18;202390
DMDC;28;18;202390
DMDC;29;18;202390
DMDC;30;18;202390
DMDC;31;18;202390
DMDC;32;34;202390
DMDC;33;34;202390
DMDC;34;41;202390
DNEI;19;1;202390
DNEI;20;1;202390
DNEI;21;1;202390
DNEI;22;1;202390
DNEI;23;1;202390
DNEI;24;1;202390
DNEI;25;2;202390
DNEI;26;2;202390
DNEI;27;2;202390
DNEI;28;2;202390
DNEI;29;2;202390
DNEI;30;2;202390
DNEI;31;2;202390
DNEI;32;2;202390
DNEI;33;2;202390
DNEI;34;3;202390
DTDI;25;3;202390
DTDI;26;3;202390
DTDI;27;3;202390
DTDI;28;3;202390
DTDI;29;3;202390
DTDI;30;3;202390
DTDI;31;3;202390
DTDI;32;5;202390
DTDI;33;5;202390
DTDI;34;5;202390
DHAC;25;3;202390
DHAC;26;3;202390
DHAC;27;3;202390
DHAC;28;3;202390
DHAC;29;3;202390
DHAC;30;3;202390
DHAC;31;3;202390
DHAC;32;5;202390
DHAC;33;5;202390
DHAC;34;7;202390
DECC;21;1;202390
DECC;22;1;202390
DECC;23;1;202390
DECC;24;1;202390
DECC;25;2;202390
DECC;26;2;202390
DECC;27;2;202390
DECC;28;2;202390
DECC;29;3;202390
DECC;30;4;202390
DECC;31;4;202390
DECC;32;4;202390
DECC;33;5;202390
DECC;34;5;202390
DFUT;25;2;202390
DFUT;26;3;202390
DFUT;27;4;202390
DFUT;28;5;202390
DFUT;29;8;202390
DFUT;30;14;202390
DFUT;31;15;202390
DFUT;32;16;202390
DFUT;33;17;202390
DFUT;34;18;202390
CCOM;29;1;202390
CCOM;30;1;202390
CCOM;31;1;202390
CCOM;32;1;202390
CCOM;33;1;202390
CCOM;34;1;202390
CDCE;13;1;202390
CDCE;14;1;202390
CDCE;15;1;202390
CDCE;16;1;202390
CDCE;17;1;202390
CDCE;18;1;202390
CDCE;19;1;202390
CDCE;20;1;202390
CDCE;21;1;202390
CDCE;22;1;202390
CDCE;23;1;202390
CDCE;24;1;202390
CDCE;25;1;202390
CDCE;26;1;202390
CDCE;27;1;202390
CDCE;28;1;202390
CDCE;29;1;202390
CDCE;30;1;202390
CDCE;31;1;202390
CDCE;32;1;202390
CDCE;33;1;202390
CDCE;34;1;202390
CIMO;23;1;202390
CIMO;24;1;202390
CIMO;25;1;202390
CIMO;26;2;202390
CIMO;27;2;202390
CIMO;28;3;202390
CIMO;29;3;202390
CIMO;30;3;202390
CIMO;31;3;202390
CIMO;32;3;202390
CIMO;33;3;202390
CIMO;34;4;202390
CSEA;15;1;202390
CSEA;16;1;202390
CSEA;17;1;202390
CSEA;18;1;202390
CSEA;19;1;202390
CSEA;20;1;202390
CSEA;21;1;202390
CSEA;22;1;202390
CSEA;23;1;202390
CSEA;24;1;202390
CSEA;25;1;202390
CSEA;26;1;202390
CSEA;27;1;202390
CSEA;28;1;202390
CSEA;29;1;202390
CSEA;30;1;202390
CSEA;31;1;202390
CSEA;32;1;202390
CSEA;33;1;202390
CSEA;34;1;202390
