CÓDIGO;Semana;Acumulado;PERIODO
MDTR;13;2;202390
MNPP;13;1;202390
MDTR;14;2;202390
MEMG;14;1;202390
MNPP;14;1;202390
MDTR;15;2;202390
MEMG;15;1;202390
MNPP;15;1;202390
MDTR;16;3;202390
MEMG;16;1;202390
MHGP;16;1;202390
MNPP;16;1;202390
MDTR;17;4;202390
MEMG;17;1;202390
MHGP;17;1;202390
MNPP;17;1;202390
MDDE;18;1;202390
MDTR;18;4;202390
MEMG;18;2;202390
MFIA;18;1;202390
MHGP;18;2;202390
MNPP;18;1;202390
MTEM;18;3;202390
MAFM;19;1;202390
MDAD;19;1;202390
MDDE;19;2;202390
MDTR;19;4;202390
MEMG;19;2;202390
MESP;19;1;202390
MFIA;19;2;202390
MHGP;19;2;202390
MNPP;19;1;202390
MTEM;19;3;202390
MAFM;20;1;202390
MAGS;20;2;202390
MDAD;20;4;202390
MDDE;20;2;202390
MDRC;20;1;202390
MDTR;20;6;202390
MEDU;20;1;202390
MEMG;20;3;202390
MESP;20;1;202390
MFIA;20;2;202390
MHGP;20;2;202390
MNPP;20;1;202390
MPSP;20;1;202390
MTEM;20;5;202390
MAFM;21;2;202390
MAGS;21;3;202390
MDAD;21;6;202390
MDDE;21;2;202390
MDRC;21;1;202390
MDTR;21;7;202390
MEDU;21;1;202390
MEMG;21;3;202390
MESP;21;1;202390
MFIA;21;2;202390
MHGP;21;2;202390
MNPP;21;2;202390
MPSP;21;3;202390
MTEM;21;7;202390
MAFM;22;2;202390
MAGS;22;3;202390
MDAD;22;8;202390
MDDE;22;3;202390
MDRC;22;1;202390
MDTR;22;8;202390
MEDU;22;1;202390
MEMG;22;4;202390
MESP;22;2;202390
MFIA;22;2;202390
MHGP;22;2;202390
MNPP;22;2;202390
MPSP;22;3;202390
MTEM;22;7;202390
MADP;23;1;202390
MAFM;23;2;202390
MAGS;23;4;202390
MDAD;23;8;202390
MDDE;23;3;202390
MDGE;23;1;202390
MDRC;23;1;202390
MDTR;23;8;202390
MEDU;23;1;202390
MEMG;23;5;202390
MEPI;23;1;202390
MESP;23;4;202390
MFIA;23;2;202390
MHGP;23;2;202390
MNPP;23;2;202390
MPSP;23;4;202390
MTEM;23;7;202390
MADP;24;2;202390
MAFM;24;2;202390
MAGS;24;4;202390
MDAD;24;10;202390
MDDE;24;4;202390
MDGE;24;2;202390
MDRC;24;1;202390
MDTR;24;8;202390
MEDU;24;1;202390
MEMG;24;6;202390
MEPI;24;3;202390
MESP;24;5;202390
MFIA;24;2;202390
MHGP;24;2;202390
MNPP;24;2;202390
MPSP;24;4;202390
MTEM;24;8;202390
MADP;25;5;202390
MAEC;25;1;202390
MAFM;25;2;202390
MAGS;25;4;202390
MDAD;25;14;202390
MDDE;25;4;202390
MDGE;25;3;202390
MDPE;25;2;202390
MDRC;25;1;202390
MDTR;25;10;202390
MEDU;25;4;202390
MEMG;25;8;202390
MEPI;25;4;202390
MESP;25;5;202390
MFIA;25;2;202390
MHGP;25;2;202390
MNPP;25;2;202390
MPSP;25;9;202390
MSCF;25;4;202390
MSCM;25;3;202390
MTEM;25;9;202390
MADP;26;5;202390
MAEC;26;1;202390
MAFM;26;2;202390
MAGS;26;5;202390
MDAD;26;15;202390
MDDE;26;6;202390
MDFI;26;1;202390
MDGE;26;4;202390
MDPE;26;3;202390
MDRC;26;2;202390
MDTR;26;11;202390
MEDU;26;5;202390
MEMG;26;8;202390
MEPI;26;4;202390
MESP;26;5;202390
MFIA;26;2;202390
MHGP;26;2;202390
MNPP;26;2;202390
MPSP;26;10;202390
MSCF;26;4;202390
MSCM;26;4;202390
MTEM;26;10;202390
MADP;27;5;202390
MAEC;27;2;202390
MAFM;27;2;202390
MAGS;27;5;202390
MDAD;27;16;202390
MDDE;27;6;202390
MDFI;27;1;202390
MDGE;27;4;202390
MDPE;27;4;202390
MDRC;27;2;202390
MDTR;27;11;202390
MEDU;27;7;202390
MEMG;27;8;202390
MEPI;27;5;202390
MESP;27;5;202390
MFIA;27;2;202390
MHGP;27;2;202390
MNPP;27;3;202390
MPSP;27;11;202390
MSCF;27;6;202390
MSCM;27;6;202390
MTEM;27;11;202390
MADP;28;5;202390
MAEC;28;2;202390
MAFM;28;2;202390
MAGS;28;6;202390
MDAD;28;17;202390
MDDE;28;7;202390
MDFI;28;1;202390
MDGE;28;5;202390
MDPE;28;5;202390
MDRC;28;2;202390
MDTR;28;11;202390
MEDU;28;8;202390
MEMG;28;8;202390
MEPI;28;5;202390
MESP;28;16;202390
MFIA;28;2;202390
MHGP;28;3;202390
MNPP;28;4;202390
MPSP;28;11;202390
MSCF;28;6;202390
MSCM;28;6;202390
MTEM;28;12;202390
MADP;29;5;202390
MAEC;29;2;202390
MAFM;29;2;202390
MAGS;29;7;202390
MDAD;29;18;202390
MDDE;29;10;202390
MDFI;29;2;202390
MDGE;29;12;202390
MDPE;29;5;202390
MDRC;29;2;202390
MDTR;29;11;202390
MEDU;29;10;202390
MEMG;29;9;202390
MEPI;29;5;202390
MESP;29;23;202390
MFIA;29;2;202390
MHGP;29;4;202390
MNPP;29;4;202390
MPSP;29;11;202390
MSCF;29;6;202390
MSCM;29;6;202390
MTEM;29;12;202390
MADP;30;6;202390
MAEC;30;2;202390
MAFM;30;2;202390
MAGS;30;10;202390
MDAD;30;19;202390
MDDE;30;10;202390
MDFI;30;2;202390
MDGE;30;14;202390
MDPE;30;7;202390
MDRC;30;2;202390
MDTR;30;14;202390
MEDU;30;12;202390
MEMG;30;10;202390
MEPI;30;5;202390
MESP;30;24;202390
MFIA;30;2;202390
MFIL;30;1;202390
MHGP;30;6;202390
