CÓDIGO;Acumulado;Semana;PERIODO
DOPI;1;1;202290
DOPI;2;2;202290
DAAG;2;3;202290
DCPA;1;3;202290
DERO;3;3;202290
DERS;1;3;202290
DGCE;1;3;202290
DIOD;1;3;202290
DIQP;1;3;202290
DODP;2;3;202290
DOPI;3;3;202290
DPAD;1;3;202290
DPEN;3;3;202290
PEPA;1;3;202290
DAAG;3;4;202290
DCPA;1;4;202290
DERA;1;4;202290
DERO;3;4;202290
DERO;1;4;202290
DERS;1;4;202290
DERS;1;4;202290
DESU;1;4;202290
DGCE;1;4;202290
DIOD;1;4;202290
DIQP;1;4;202290
DIQP;4;4;202290
DODP;2;4;202290
DOPI;4;4;202290
DPAD;1;4;202290
DPEN;3;4;202290
MDAD;1;4;202290
PEPA;1;4;202290
PEPA;1;4;202290
DAAG;3;5;202290
DCPA;1;5;202290
DCPA;1;5;202290
DCPA;1;5;202290
DERA;1;5;202290
DERA;1;5;202290
DERO;5;5;202290
DERO;1;5;202290
DERS;3;5;202290
DERS;1;5;202290
DESU;1;5;202290
DGCE;1;5;202290
DIOD;1;5;202290
DIQP;1;5;202290
DIQP;7;5;202290
DODP;2;5;202290
DOPI;1;5;202290
DOPI;7;5;202290
DORE;1;5;202290
DPAD;2;5;202290
DPEN;4;5;202290
MDAD;1;5;202290
MEMG;1;5;202290
MHGP;1;5;202290
MPSP;1;5;202290
MPSP;2;5;202290
MTEM;1;5;202290
PEPA;1;5;202290
PEPA;1;5;202290
DAAG;3;6;202290
DCPA;4;6;202290
DCPA;1;6;202290
DCPA;1;6;202290
DDCO;1;6;202290
DERA;1;6;202290
DERA;3;6;202290
DERO;6;6;202290
DERO;1;6;202290
DERS;3;6;202290
DERS;1;6;202290
DESU;1;6;202290
DGCE;1;6;202290
DGGE;1;6;202290
DIOD;1;6;202290
DIQP;1;6;202290
DIQP;9;6;202290
DODP;3;6;202290
DOPI;2;6;202290
DOPI;8;6;202290
DORE;1;6;202290
DPAD;2;6;202290
DPEN;4;6;202290
EMCT;1;6;202290
EOEN;1;6;202290
EOEN;1;6;202290
EOOP;8;6;202290
MDAD;1;6;202290
MDDE;1;6;202290
MEDU;1;6;202290
MEMG;4;6;202290
MHGP;1;6;202290
MPSP;1;6;202290
MPSP;2;6;202290
MTEM;2;6;202290
PEPA;1;6;202290
PEPA;2;6;202290
DAAG;3;7;202290
DCPA;7;7;202290
DCPA;1;7;202290
DCPA;2;7;202290
DCPA;1;7;202290
DDCO;1;7;202290
DDEI;1;7;202290
DERA;1;7;202290
DERA;4;7;202290
DERO;7;7;202290
DERO;2;7;202290
DERS;3;7;202290
DERS;1;7;202290
DEST;1;7;202290
DESU;1;7;202290
DEVS;1;7;202290
DGCE;1;7;202290
DGGE;1;7;202290
DIOD;1;7;202290
DIQP;1;7;202290
DIQP;10;7;202290
DODP;3;7;202290
DOPI;2;7;202290
DOPI;10;7;202290
DORE;1;7;202290
DPAD;2;7;202290
DPEN;4;7;202290
DPSU;2;7;202290
EMCT;1;7;202290
EOEN;1;7;202290
EOEN;8;7;202290
EOOP;8;7;202290
EORO;2;7;202290
EORO;8;7;202290
EORO;1;7;202290
MDAD;1;7;202290
MDDE;1;7;202290
MDTR;1;7;202290
MEDU;1;7;202290
MEMG;4;7;202290
MHGP;1;7;202290
MPSP;1;7;202290
MPSP;2;7;202290
MTEM;2;7;202290
PEPA;1;7;202290
PEPA;2;7;202290
PMEM;2;7;202290
DAAG;3;8;202290
DAAG;1;8;202290
DCPA;14;8;202290
DCPA;1;8;202290
DCPA;3;8;202290
DCPA;1;8;202290
DDCO;2;8;202290
DDEI;1;8;202290
DERA;1;8;202290
DERA;8;8;202290
DERO;7;8;202290
DERO;2;8;202290
DERS;5;8;202290
DERS;1;8;202290
DEST;2;8;202290
DESU;1;8;202290
DEVS;1;8;202290
DGCE;1;8;202290
DGGE;1;8;202290
DIOD;1;8;202290
DIQP;1;8;202290
DIQP;11;8;202290
DODP;4;8;202290
DOPI;2;8;202290
DOPI;13;8;202290
DORE;2;8;202290
DPAD;2;8;202290
DPEN;5;8;202290
DPPC;1;8;202290
DPSU;2;8;202290
DSMP;1;8;202290
EMCT;1;8;202290
EOEN;1;8;202290
EOEN;8;8;202290
EOIO;3;8;202290
EOOP;8;8;202290
EOPE;2;8;202290
EORO;2;8;202290
EORO;9;8;202290
EORO;1;8;202290
MDAD;1;8;202290
MDDE;1;8;202290
MDRC;1;8;202290
MDTR;2;8;202290
MEDU;1;8;202290
MEMG;5;8;202290
MHGP;1;8;202290
MNPP;1;8;202290
MPSP;1;8;202290
MPSP;2;8;202290
MTEM;3;8;202290
PEOG;1;8;202290
PEPA;1;8;202290
PEPA;2;8;202290
PMEM;3;8;202290
DAAG;3;9;202290
DAAG;2;9;202290
DCAA;1;9;202290
DCPA;22;9;202290
DCPA;1;9;202290
DCPA;3;9;202290
DCPA;1;9;202290
DDCO;2;9;202290
DDEI;1;9;202290
DDLE;1;9;202290
DERA;1;9;202290
DERA;10;9;202290
DERO;8;9;202290
DERO;2;9;202290
DERS;6;9;202290
DERS;1;9;202290
DEST;2;9;202290
DESU;1;9;202290
DEVS;1;9;202290
DGCE;1;9;202290
DGGE;1;9;202290
DIOD;1;9;202290
DIQP;1;9;202290
