CÓDIGO;Semana;Acumulado;PERIODO
DAAG;10;1;202390
DERS;10;1;202390
DIQP;10;1;202390
DERO;11;1;202390
DERS;11;1;202390
DIQP;11;1;202390
DIQP;11;2;202390
DERO;12;1;202390
DERO;12;2;202390
DERS;12;1;202390
DIQP;12;3;202390
DODP;12;2;202390
DOPI;12;2;202390
CDCE;13;1;202390
CTSP;13;1;202390
DCPA;13;1;202390
DCPA;13;3;202390
DERA;13;3;202390
DERO;13;2;202390
DERS;13;1;202390
DIQP;13;1;202390
DOPI;13;2;202390
DPEN;13;2;202390
DSCE;13;1;202390
DSMP;13;1;202390
MDTR;13;1;202390
MDTR;13;1;202390
MNPP;13;1;202390
PEOG;13;4;202390
DCPA;14;1;202390
DCPA;14;8;202390
DDEC;14;1;202390
DDUC;14;1;202390
DERA;14;3;202390
DERO;14;1;202390
DERS;14;2;202390
DOPI;14;2;202390
MEMG;14;1;202390
PEOG;14;2;202390
CHDS;15;1;202390
CSEA;15;1;202390
DCPA;15;1;202390
DDSC;15;2;202390
DERA;15;3;202390
DERO;15;4;202390
DNEO;15;1;202390
DOPI;15;2;202390
DPEN;15;3;202390
DSMP;15;2;202390
EOOP;15;1;202390
EOOP;15;7;202390
EOTT;15;1;202390
EOTT;15;2;202390
PEOG;15;2;202390
DCPA;16;5;202390
DERO;16;1;202390
DGOS;16;1;202390
DIOD;16;1;202390
DOPI;16;1;202390
DOPI;16;2;202390
DPAD;16;1;202390
DPEN;16;2;202390
DSCE;16;1;202390
EOEN;16;1;202390
EOEN;16;3;202390
EOIM;16;1;202390
EOPE;16;5;202390
EOTT;16;1;202390
MDTR;16;1;202390
MHGP;16;1;202390
PEOG;16;2;202390
DAAG;17;1;202390
DCHC;17;1;202390
DCPA;17;2;202390
DDSC;17;2;202390
DERO;17;2;202390
DERS;17;1;202390
DESU;17;1;202390
DMTT;17;1;202390
DODP;17;1;202390
DPAD;17;2;202390
EOCM;17;1;202390
EOCM;17;1;202390
EOEN;17;7;202390
EOPE;17;3;202390
EORO;17;8;202390
EOTT;17;1;202390
MDTR;17;1;202390
DCPA;18;2;202390
DDSC;18;1;202390
DERO;18;1;202390
DERS;18;3;202390
DGGE;18;1;202390
DIND;18;2;202390
DIOD;18;1;202390
DIQP;18;3;202390
DMBU;18;1;202390
DMSM;18;1;202390
DODP;18;2;202390
DOPI;18;1;202390
DPAD;18;1;202390
DPEN;18;2;202390
DSCE;18;1;202390
ECAN;18;1;202390
EOCM;18;1;202390
EOCM;18;1;202390
EOIO;18;10;202390
EOOR;18;3;202390
EOOR;18;2;202390
EORO;18;2;202390
MDDE;18;1;202390
MEMG;18;1;202390
MFIA;18;1;202390
MHGP;18;1;202390
MTEM;18;3;202390
PEOG;18;1;202390
PEPA;18;1;202390
CAFC;19;1;202390
DCAA;19;1;202390
DCPA;19;6;202390
DDEP;19;1;202390
DDGP;19;1;202390
DDIN;19;1;202390
DDLE;19;1;202390
DDPD;19;3;202390
DDSC;19;1;202390
DERA;19;2;202390
DERS;19;1;202390
DGOS;19;1;202390
DHGE;19;2;202390
DIND;19;1;202390
DIOD;19;2;202390
DIQP;19;4;202390
DKAD;19;2;202390
DLGP;19;2;202390
DLIP;19;1;202390
DMDC;19;4;202390
DMSM;19;1;202390
DNEI;19;1;202390
DOPI;19;4;202390
DPEN;19;1;202390
EOOR;19;1;202390
EOTT;19;1;202390
EPAQ;19;2;202390
MAFM;19;1;202390
MDAD;19;1;202390
MDDE;19;1;202390
MESP;19;1;202390
MFIA;19;1;202390
PEOG;19;1;202390
DCHC;20;1;202390
DCOL;20;1;202390
DCPA;20;5;202390
DDEP;20;2;202390
DDGE;20;1;202390
DDIN;20;1;202390
DDUC;20;1;202390
DERA;20;1;202390
DERS;20;1;202390
DESP;20;1;202390
DESU;20;1;202390
DGCS;20;1;202390
DGOS;20;3;202390
DIPH;20;2;202390
DIQP;20;4;202390
DOCM;20;1;202390
DODP;20;1;202390
DODP;20;1;202390
DOPI;20;3;202390
DPPC;20;1;202390
EOEN;20;1;202390
EOIM;20;1;202390
MAGS;20;2;202390
MDAD;20;3;202390
MDRC;20;1;202390
MDTR;20;2;202390
MEDU;20;1;202390
MEMG;20;1;202390
MPSP;20;1;202390
MTEM;20;2;202390
PEOG;20;1;202390
POPF;20;1;202390
CPAL;21;4;202390
DCOL;21;1;202390
DCPA;21;9;202390
DDIP;21;1;202390
DDLE;21;1;202390
DDMA;21;1;202390
DDSC;21;4;202390
DECC;21;1;202390
DEON;21;2;202390
DERA;21;2;202390
DERO;21;4;202390
DERS;21;1;202390
DESP;21;1;202390
DESP;21;1;202390
DESU;21;1;202390
DEVS;21;1;202390
DFDP;21;1;202390
DGAS;21;1;202390
DGCE;21;1;202390
DGCS;21;1;202390
